2472,1:3
1194,1:4
569,1:5
298,1:6
197,1:7
116,1:8
87,1:9
45,1:10
22,1:11
12,1:12
10,1:13
8,1:14
4,1:15
3,1:16
3,1:18
1,1:19
1,1:23
1,1:27
1,1:28
1,1:33
4386,2:2
2852,2:3
1762,2:4
1238,2:5
996,2:6
737,2:7
511,2:8
376,2:9
226,2:10
143,2:11
84,2:12
60,2:13
29,2:14
14,2:15
12,2:16
3,2:17
1,2:18
2,2:19
1,2:20
1,2:27
1,2:43
3438,3:1
3532,3:2
2925,3:3
2763,3:4
2700,3:5
2459,3:6
1969,3:7
1537,3:8
1079,3:9
731,3:10
511,3:11
328,3:12
176,3:13
124,3:14
62,3:15
41,3:16
16,3:17
6,3:18
7,3:19
5,3:20
3,3:21
1891,4:1
2412,4:2
3362,4:3
4207,4:4
4636,4:5
4742,4:6
4081,4:7
3383,4:8
2512,4:9
1910,4:10
1218,4:11
768,4:12
547,4:13
327,4:14
195,4:15
107,4:16
60,4:17
32,4:18
14,4:19
14,4:20
8,4:21
2,4:22
2,4:23
1,4:38
1026,5:1
2081,5:2
3762,5:3
5697,5:4
6939,5:5
7363,5:6
6925,5:7
6005,5:8
4846,5:9
3497,5:10
2610,5:11
1765,5:12
1137,5:13
735,5:14
466,5:15
301,5:16
172,5:17
82,5:18
50,5:19
26,5:20
16,5:21
12,5:22
4,5:23
2,5:24
1,5:25
1,5:26
2,5:27
1,5:29
662,6:1
1879,6:2
4073,6:3
6684,6:4
8753,6:5
9828,6:6
9986,6:7
9100,6:8
7699,6:9
6051,6:10
4536,6:11
3252,6:12
2258,6:13
1465,6:14
940,6:15
576,6:16
331,6:17
203,6:18
133,6:19
82,6:20
48,6:21
18,6:22
9,6:23
9,6:24
8,6:25
6,6:26
1,6:27
455,7:1
1700,7:2
4053,7:3
7089,7:4
9945,7:5
11818,7:6
12633,7:7
12152,7:8
10689,7:9
8798,7:10
7001,7:11
5117,7:12
3662,7:13
2457,7:14
1702,7:15
1085,7:16
687,7:17
438,7:18
242,7:19
145,7:20
96,7:21
49,7:22
30,7:23
18,7:24
9,7:25
6,7:26
5,7:27
1,7:28
2,7:30
325,8:1
1437,8:2
3508,8:3
6677,8:4
10229,8:5
13026,8:6
14206,8:7
14202,8:8
13492,8:9
11611,8:10
9459,8:11
7215,8:12
5403,8:13
3896,8:14
2744,8:15
1761,8:16
1167,8:17
776,8:18
480,8:19
312,8:20
